省份,科类,分数,百分位,位次,稳妥层次,分段数据源,推荐院校Top10,推荐专业Top12,问题数
上海,物理类,367,5.73,28172,专科,model,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理,0
上海,物理类,405,20.43,23887,专科,model,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理,0
上海,物理类,453,54.69,13742,专科,model,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理,0
上海,物理类,520,93.06,2158,双一流,model,北京邮电大学 | 南京航空航天大学 | 南京理工大学 | 西安电子科技大学 | 北京交通大学 | 合肥工业大学 | 苏州大学 | 郑州大学 | 云南大学 | 新疆大学,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 护理学 | 现代物流管理 | 服装与服饰设计 | 集成电路设计与集成系统 | 网络空间安全 | 机器人工程 | 人工智能 | 临床医学 | 数据科学与大数据技术,1
上海,物理类,560,99.14,263,985,model,清华大学 | 北京大学 | 复旦大学 | 上海交通大学 | 浙江大学 | 南京大学 | 中国科学技术大学 | 哈尔滨工业大学 | 西安交通大学 | 北京航空航天大学,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 护理学 | 现代物流管理 | 服装与服饰设计 | 集成电路设计与集成系统 | 网络空间安全 | 机器人工程 | 人工智能 | 临床医学 | 数据科学与大数据技术,1
上海,物理类,605,99.75,76,C9,model,清华大学 | 北京大学 | 复旦大学 | 上海交通大学 | 浙江大学 | 南京大学 | 中国科学技术大学 | 哈尔滨工业大学 | 西安交通大学 | 北京航空航天大学,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 护理学 | 现代物流管理 | 服装与服饰设计 | 集成电路设计与集成系统 | 网络空间安全 | 机器人工程 | 人工智能 | 临床医学 | 数据科学与大数据技术,1
上海,历史类,367,3.6,12915,专科,model,,电子商务 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理 | 现代农业经济管理 | 农村新型经济组织管理,0
上海,历史类,405,16.39,11248,专科,model,,电子商务 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理 | 现代农业经济管理 | 农村新型经济组织管理,0
上海,历史类,453,50.09,6782,专科,model,,电子商务 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理 | 现代农业经济管理 | 农村新型经济组织管理,0
上海,历史类,520,91.94,1123,一本,model,深圳大学 | 南方科技大学 | 西湖大学 | 宁波大学 | 首都师范大学 | 北京邮电大学 | 南京航空航天大学 | 南京理工大学 | 西安电子科技大学 | 北京交通大学,护理学 | 现代物流管理 | 会计学 | 国际税收 | 金融审计 | 国际经济发展合作 | 纪检监察 | 国际法 | 司法鉴定学 | 国家安全学 | 海外利益安全 | 国际组织与全球治理,1
上海,历史类,560,98.97,142,985,model,清华大学 | 北京大学 | 复旦大学 | 上海交通大学 | 浙江大学 | 南京大学 | 中国科学技术大学 | 哈尔滨工业大学 | 西安交通大学 | 北京航空航天大学,护理学 | 现代物流管理 | 服装与服饰设计 | 会计学 | 国际税收 | 金融审计 | 国际经济发展合作 | 纪检监察 | 国际法 | 司法鉴定学 | 国家安全学 | 海外利益安全,1
上海,历史类,605,99.58,57,C9,model,清华大学 | 北京大学 | 复旦大学 | 上海交通大学 | 浙江大学 | 南京大学 | 中国科学技术大学 | 哈尔滨工业大学 | 西安交通大学 | 北京航空航天大学,护理学 | 现代物流管理 | 服装与服饰设计 | 会计学 | 国际税收 | 金融审计 | 国际经济发展合作 | 纪检监察 | 国际法 | 司法鉴定学 | 国家安全学 | 海外利益安全,1
云南,物理类,395,4.96,185512,专科,model,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理,0
云南,物理类,433,16.39,163722,专科,model,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理,0
云南,物理类,462,32.24,133266,专科,model,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理,0
云南,物理类,510,68.16,63531,二本,model,北京信息科技大学 | 上海第二工业大学 | 重庆文理学院 | 洛阳理工学院 | 安徽建筑大学 | 浙江科技大学 | 西安邮电大学 | 山东理工大学 | 成都工业学院 | 湖北经济学院,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 护理学 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术,0
云南,物理类,550,90.8,18292,一本,model,深圳大学 | 南方科技大学 | 西湖大学 | 宁波大学 | 首都师范大学 | 北京邮电大学 | 南京航空航天大学 | 南京理工大学 | 西安电子科技大学 | 北京交通大学,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 护理学 | 现代物流管理 | 服装与服饰设计 | 网络空间安全 | 机器人工程 | 临床医学 | 数据科学与大数据技术 | 金融工程 | 新能源科学与工程,1
云南,物理类,595,96.87,6258,211,model,哈尔滨工业大学 | 西安交通大学 | 北京航空航天大学 | 同济大学 | 华中科技大学 | 武汉大学 | 中山大学 | 电子科技大学 | 北京理工大学 | 东南大学,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 护理学 | 现代物流管理 | 服装与服饰设计 | 集成电路设计与集成系统 | 网络空间安全 | 机器人工程 | 人工智能 | 临床医学 | 数据科学与大数据技术,1
云南,历史类,395,6.85,81746,专科,model,,电子商务 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理 | 现代农业经济管理 | 农村新型经济组织管理,0
云南,历史类,433,20.29,70212,专科,model,,电子商务 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理 | 现代农业经济管理 | 农村新型经济组织管理,0
云南,历史类,462,37.69,55162,专科,model,,电子商务 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理 | 现代农业经济管理 | 农村新型经济组织管理,0
云南,历史类,510,74.53,22971,二本,model,北京信息科技大学 | 上海第二工业大学 | 重庆文理学院 | 洛阳理工学院 | 安徽建筑大学 | 浙江科技大学 | 西安邮电大学 | 山东理工大学 | 成都工业学院 | 湖北经济学院,电子商务 | 护理学 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理 | 现代农业经济管理,0
云南,历史类,550,91.42,7676,一本,model,深圳大学 | 南方科技大学 | 西湖大学 | 宁波大学 | 首都师范大学 | 北京邮电大学 | 南京航空航天大学 | 南京理工大学 | 西安电子科技大学 | 北京交通大学,护理学 | 现代物流管理 | 会计学 | 国际税收 | 金融审计 | 国际经济发展合作 | 纪检监察 | 国际法 | 司法鉴定学 | 国家安全学 | 海外利益安全 | 国际组织与全球治理,1
云南,历史类,595,97.08,2624,211,model,哈尔滨工业大学 | 西安交通大学 | 北京航空航天大学 | 同济大学 | 华中科技大学 | 武汉大学 | 中山大学 | 电子科技大学 | 北京理工大学 | 东南大学,护理学 | 现代物流管理 | 服装与服饰设计 | 会计学 | 国际税收 | 金融审计 | 国际经济发展合作 | 纪检监察 | 国际法 | 司法鉴定学 | 国家安全学 | 海外利益安全,1
内蒙古,物理类,340,3.61,91459,专科,model,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理,0
内蒙古,物理类,378,11.4,84237,专科,model,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理,0
内蒙古,物理类,431,34.66,62460,专科,model,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理,0
内蒙古,物理类,502,78.7,20712,二本,model,首都经济贸易大学 | 浙江工业大学 | 广东工业大学 | 杭州电子科技大学 | 南京工业大学 | 燕山大学 | 昆明理工大学 | 长春理工大学 | 重庆邮电大学 | 上海理工大学,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 护理学 | 现代物流管理 | 新能源科学与工程 | 自动化 | 电子信息工程 | 统计学 | 电气工程及其自动化 | 国际税收 | 金融审计,0
内蒙古,物理类,542,94.15,5661,双一流,model,北京邮电大学 | 南京航空航天大学 | 南京理工大学 | 西安电子科技大学 | 北京交通大学 | 合肥工业大学 | 苏州大学 | 郑州大学 | 云南大学 | 新疆大学,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 护理学 | 现代物流管理 | 服装与服饰设计 | 集成电路设计与集成系统 | 网络空间安全 | 机器人工程 | 人工智能 | 临床医学 | 数据科学与大数据技术,1
内蒙古,物理类,587,97.88,2054,211,model,哈尔滨工业大学 | 西安交通大学 | 北京航空航天大学 | 同济大学 | 华中科技大学 | 武汉大学 | 中山大学 | 电子科技大学 | 北京理工大学 | 东南大学,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 护理学 | 现代物流管理 | 服装与服饰设计 | 集成电路设计与集成系统 | 网络空间安全 | 机器人工程 | 人工智能 | 临床医学 | 数据科学与大数据技术,1
内蒙古,历史类,340,9.22,76164,专科,eol.cn,,电子商务 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理 | 现代农业经济管理 | 农村新型经济组织管理,0
内蒙古,历史类,378,18.71,68309,专科,eol.cn,,电子商务 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理 | 现代农业经济管理 | 农村新型经济组织管理,0
内蒙古,历史类,431,37.89,52328,专科,eol.cn,,电子商务 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理 | 现代农业经济管理 | 农村新型经济组织管理,0
内蒙古,历史类,502,64.29,30181,专科,eol.cn,北京信息科技大学 | 上海第二工业大学 | 重庆文理学院 | 洛阳理工学院 | 安徽建筑大学 | 浙江科技大学 | 西安邮电大学 | 山东理工大学 | 成都工业学院 | 湖北经济学院,电子商务 | 护理学 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理 | 现代农业经济管理,0
内蒙古,历史类,542,77.34,19213,二本,eol.cn,首都经济贸易大学 | 浙江工业大学 | 广东工业大学 | 杭州电子科技大学 | 南京工业大学 | 燕山大学 | 昆明理工大学 | 长春理工大学 | 重庆邮电大学 | 上海理工大学,电子商务 | 护理学 | 现代物流管理 | 会计学 | 国际税收 | 金融审计 | 国际经济发展合作 | 纪检监察 | 国际法 | 司法鉴定学 | 国家安全学 | 海外利益安全,0
内蒙古,历史类,587,89.2,9214,一本,eol.cn,深圳大学 | 南方科技大学 | 西湖大学 | 宁波大学 | 首都师范大学 | 北京邮电大学 | 南京航空航天大学 | 南京理工大学 | 西安电子科技大学 | 北京交通大学,护理学 | 现代物流管理 | 会计学 | 国际税收 | 金融审计 | 国际经济发展合作 | 纪检监察 | 国际法 | 司法鉴定学 | 国家安全学 | 海外利益安全 | 国际组织与全球治理,0
北京,物理类,395,10.68,58553,专科,eol.cn,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理,0
北京,物理类,433,18.76,53334,专科,eol.cn,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理,0
北京,物理类,474,32.16,44635,专科,eol.cn,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理,0
北京,物理类,534,56.15,28968,专科,eol.cn,北京信息科技大学 | 上海第二工业大学 | 重庆文理学院 | 洛阳理工学院 | 安徽建筑大学 | 浙江科技大学 | 西安邮电大学 | 山东理工大学 | 成都工业学院 | 湖北经济学院,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 护理学 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术,0
北京,物理类,574,71.93,18613,二本,eol.cn,北京信息科技大学 | 上海第二工业大学 | 重庆文理学院 | 洛阳理工学院 | 安徽建筑大学 | 浙江科技大学 | 西安邮电大学 | 山东理工大学 | 成都工业学院 | 湖北经济学院,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 护理学 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术,0
北京,物理类,619,87.25,8530,一本,eol.cn,深圳大学 | 南方科技大学 | 西湖大学 | 宁波大学 | 首都师范大学 | 北京邮电大学 | 南京航空航天大学 | 南京理工大学 | 西安电子科技大学 | 北京交通大学,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 护理学 | 现代物流管理 | 服装与服饰设计 | 网络空间安全 | 机器人工程 | 临床医学 | 数据科学与大数据技术 | 金融工程 | 新能源科学与工程,0
北京,历史类,395,10.68,58553,专科,eol.cn,,电子商务 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理 | 现代农业经济管理 | 农村新型经济组织管理,0
北京,历史类,433,18.76,53334,专科,eol.cn,,电子商务 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理 | 现代农业经济管理 | 农村新型经济组织管理,0
北京,历史类,474,32.16,44635,专科,eol.cn,,电子商务 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理 | 现代农业经济管理 | 农村新型经济组织管理,0
北京,历史类,534,56.15,28968,专科,eol.cn,北京信息科技大学 | 上海第二工业大学 | 重庆文理学院 | 洛阳理工学院 | 安徽建筑大学 | 浙江科技大学 | 西安邮电大学 | 山东理工大学 | 成都工业学院 | 湖北经济学院,电子商务 | 护理学 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理 | 现代农业经济管理,0
北京,历史类,574,71.93,18613,二本,eol.cn,北京信息科技大学 | 上海第二工业大学 | 重庆文理学院 | 洛阳理工学院 | 安徽建筑大学 | 浙江科技大学 | 西安邮电大学 | 山东理工大学 | 成都工业学院 | 湖北经济学院,电子商务 | 护理学 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理 | 现代农业经济管理,0
北京,历史类,619,87.25,8530,一本,eol.cn,深圳大学 | 南方科技大学 | 西湖大学 | 宁波大学 | 首都师范大学 | 北京邮电大学 | 南京航空航天大学 | 南京理工大学 | 西安电子科技大学 | 北京交通大学,护理学 | 现代物流管理 | 会计学 | 国际税收 | 金融审计 | 国际经济发展合作 | 纪检监察 | 国际法 | 司法鉴定学 | 国家安全学 | 海外利益安全 | 国际组织与全球治理,0
吉林,物理类,305,3.09,60387,专科,model,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理,0
吉林,物理类,343,9.48,56492,专科,model,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理,0
吉林,物理类,409,35.17,40687,专科,model,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理,0
吉林,物理类,494,82.49,11190,二本,model,首都经济贸易大学 | 浙江工业大学 | 广东工业大学 | 杭州电子科技大学 | 南京工业大学 | 燕山大学 | 昆明理工大学 | 长春理工大学 | 重庆邮电大学 | 上海理工大学,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 护理学 | 现代物流管理 | 新能源科学与工程 | 自动化 | 电子信息工程 | 统计学 | 电气工程及其自动化 | 国际税收 | 金融审计,0
吉林,物理类,534,95.15,3082,双一流,model,北京邮电大学 | 南京航空航天大学 | 南京理工大学 | 西安电子科技大学 | 北京交通大学 | 合肥工业大学 | 苏州大学 | 郑州大学 | 云南大学 | 新疆大学,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 护理学 | 现代物流管理 | 服装与服饰设计 | 集成电路设计与集成系统 | 网络空间安全 | 机器人工程 | 人工智能 | 临床医学 | 数据科学与大数据技术,1
吉林,物理类,579,98.16,1170,211,model,哈尔滨工业大学 | 西安交通大学 | 北京航空航天大学 | 同济大学 | 华中科技大学 | 武汉大学 | 中山大学 | 电子科技大学 | 北京理工大学 | 东南大学,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 护理学 | 现代物流管理 | 服装与服饰设计 | 集成电路设计与集成系统 | 网络空间安全 | 机器人工程 | 人工智能 | 临床医学 | 数据科学与大数据技术,1
吉林,历史类,305,7.46,74530,专科,eol.cn,,电子商务 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理 | 现代农业经济管理 | 农村新型经济组织管理,0
吉林,历史类,343,14.05,69296,专科,eol.cn,,电子商务 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理 | 现代农业经济管理 | 农村新型经济组织管理,0
吉林,历史类,409,33.43,53818,专科,eol.cn,,电子商务 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理 | 现代农业经济管理 | 农村新型经济组织管理,0
吉林,历史类,494,64.35,28947,专科,eol.cn,北京信息科技大学 | 上海第二工业大学 | 重庆文理学院 | 洛阳理工学院 | 安徽建筑大学 | 浙江科技大学 | 西安邮电大学 | 山东理工大学 | 成都工业学院 | 湖北经济学院,电子商务 | 护理学 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理 | 现代农业经济管理,0
吉林,历史类,534,77.03,18713,二本,eol.cn,首都经济贸易大学 | 浙江工业大学 | 广东工业大学 | 杭州电子科技大学 | 南京工业大学 | 燕山大学 | 昆明理工大学 | 长春理工大学 | 重庆邮电大学 | 上海理工大学,电子商务 | 护理学 | 现代物流管理 | 会计学 | 国际税收 | 金融审计 | 国际经济发展合作 | 纪检监察 | 国际法 | 司法鉴定学 | 国家安全学 | 海外利益安全,0
吉林,历史类,579,88.41,9498,一本,eol.cn,深圳大学 | 南方科技大学 | 西湖大学 | 宁波大学 | 首都师范大学 | 北京邮电大学 | 南京航空航天大学 | 南京理工大学 | 西安电子科技大学 | 北京交通大学,护理学 | 现代物流管理 | 会计学 | 国际税收 | 金融审计 | 国际经济发展合作 | 纪检监察 | 国际法 | 司法鉴定学 | 国家安全学 | 海外利益安全 | 国际组织与全球治理,0
四川,物理类,403,36.02,114537,专科,eol.cn,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理,0
四川,物理类,441,50.11,89458,专科,eol.cn,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 现代物流管理 | 作物生产与经营管理 | 茶叶生产与加工技术 | 烟草栽培与加工技术 | 饲草生产技术 | 食用菌生产与加工技术 | 现代农业装备应用技术 | 绿色食品生产技术 | 休闲农业经营与管理,0
